"Descrição do Bem","Valor"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEÁVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEÁVEL, GRADE PORTA-LIVROS","565,28"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","4.657,89"
"BOMBA HIDRAULICA INTECH MACHINE BC 1000","450,00"
"RACK INFORMÁTICA TRIUNFO FECHADO PISO 28UX670MM","1.499,00"
"RACK INFORMÁTICA FURUKAWA ABERTO 19 44U PRETO","510,00"
"RACK INFORMÁTICA FURUKAWA ABERTO 19 44U PRETO","510,00"
"CADEIRA MARELLI 4 PÉS-301 LINHA MIX","332,79"
"ARMÁRIO MARELLI AR 03 ARQUIVAMENTO","627,09"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE, 8 TOMADAS PADRÃO 19'.","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE, 8 TOMADAS PADRÃO 19'.","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE, 8 TOMADAS PADRÃO 19'.","554,96"
"CADEIRA SEM MARCA GIRATÓRIA DIRETOR","670,00"
"CADEIRA SEM MARCA GIRATÓRIA DIRETOR","670,00"
"CADEIRA SEM MARCA GIRATÓRIA DIRETOR","670,00"
"CADEIRA SEM MARCA GIRATÓRIA DIRETOR","670,00"
"CADEIRA SEM MARCA GIRATÓRIA DIRETOR","670,00"
"BEBEDOURO LIBELL MASTER BRANCO 220V","510,00"
"BEBEDOURO LIBELL MASTER BRANCO 220V","510,00"
"CONDENSADORA DE AR CONDICIONADO ELGIN AR SPLIT PISO TETO 60.000 BTUS ELGIN","7.012,00"
"CONDENSADORA DE AR CONDICIONADO ELGIN SPLIT PISO TETO 60.000 BTUS","7.012,00"
"CONDENSADORA DE AR CONDICIONADO ELGIN SPLIT PISO TETO 60.000 BTUS","7.012,00"
"CONDENSADORA DE AR CONDICIONADO ELGIN SPLIT PISO TETO 60.000 BTUS","7.012,00"
"FRAGMENTADORA DE PAPEL MEΝΝΟ FRAGMENTADORA SECRETA S300D","1.661,00"
"ARMÁRIO MARELLI COM 02 PORTAS SEM GAVETAS","522,00"
"ARMÁRIO MARELLI SEMIABERTO 80,00X49,00X160,00CM","943,00"
"ARMÁRIO MARELLI SEMIABERTO 80,00X49,00X160,00CM","943,00"
"ARMÁRIO MARELLI SEMIABERTO 80,00X49,00X160,00CM","943,00"
"ARMÁRIO MARELLI SEMIABERTO 80,00X49,00X160,00CM","943,00"
"GAVETEIRO MARELLI GAVETEIRO VOLANTE 42,50X52,50X65,00CM","553,00"
"CAFETEIRA MARCHESONI CAFETEIRA EM AÇO INOXIDÁVEL, 6 LITROS, TIPO INDUSTRIAL","533,00"
"CAFETEIRA MARCHESONI CAFETEIRA EM AÇO INOXIDÁVEL, 6 LITROS, TIPO INDUSTRIAL","533,00"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
"RACK INFORMÁTICA SEM MARCA FECHADO COM CHAVE 10US 8 TOMADAS PADRÃO 19'","554,96"
